cohort_definition_id,age_group,sex,n,cdm_name
1,"[0,5]",Female,406,CPRD GOLD
1,"[0,5]",Male,532,CPRD GOLD
1,"(5,10]",Female,394,CPRD GOLD
1,"(5,10]",Male,482,CPRD GOLD
1,"(10,15]",Female,405,CPRD GOLD
1,"(10,15]",Male,381,CPRD GOLD
1,"(15,20]",Female,541,CPRD GOLD
1,"(15,20]",Male,327,CPRD GOLD
1,"(20,25]",Female,780,CPRD GOLD
1,"(20,25]",Male,368,CPRD GOLD
1,"(25,30]",Female,1059,CPRD GOLD
1,"(25,30]",Male,580,CPRD GOLD
1,"(30,35]",Female,1233,CPRD GOLD
1,"(30,35]",Male,465,CPRD GOLD
1,"(35,40]",Female,1218,CPRD GOLD
1,"(35,40]",Male,592,CPRD GOLD
1,"(40,45]",Female,1125,CPRD GOLD
1,"(40,45]",Male,425,CPRD GOLD
1,"(45,50]",Female,1215,CPRD GOLD
1,"(45,50]",Male,524,CPRD GOLD
1,"(50,55]",Female,1106,CPRD GOLD
1,"(50,55]",Male,472,CPRD GOLD
1,"(55,60]",Female,1172,CPRD GOLD
1,"(55,60]",Male,352,CPRD GOLD
1,"(60,65]",Female,858,CPRD GOLD
1,"(60,65]",Male,275,CPRD GOLD
1,"(65,70]",Female,306,CPRD GOLD
1,"(65,70]",Male,228,CPRD GOLD
1,"(70,75]",Female,152,CPRD GOLD
1,"(70,75]",Male,145,CPRD GOLD
1,"(75,80]",Female,76,CPRD GOLD
1,"(75,80]",Male,78,CPRD GOLD
1,"(80,85]",Female,95,CPRD GOLD
1,"(80,85]",Male,104,CPRD GOLD
1,"(85,90]",Female,143,CPRD GOLD
1,"(85,90]",Male,66,CPRD GOLD
1,"(90,95]",Female,67,CPRD GOLD
1,"(90,95]",Male,64,CPRD GOLD
1,"(95,100]",Female,41,CPRD GOLD
1,"(95,100]",Male,12,CPRD GOLD
1,"(100,105]",Female,NA,CPRD GOLD
2,"[0,5]",Female,21,CPRD GOLD
2,"[0,5]",Male,23,CPRD GOLD
2,"(5,10]",Female,170,CPRD GOLD
2,"(5,10]",Male,159,CPRD GOLD
2,"(10,15]",Female,494,CPRD GOLD
2,"(10,15]",Male,512,CPRD GOLD
2,"(15,20]",Female,898,CPRD GOLD
2,"(15,20]",Male,882,CPRD GOLD
2,"(20,25]",Female,1132,CPRD GOLD
2,"(20,25]",Male,974,CPRD GOLD
2,"(25,30]",Female,1239,CPRD GOLD
2,"(25,30]",Male,1110,CPRD GOLD
2,"(30,35]",Female,1484,CPRD GOLD
2,"(30,35]",Male,1198,CPRD GOLD
2,"(35,40]",Female,1439,CPRD GOLD
