cohort_definition_id_x,cohort_definition_id_y,intersect_count,cdm_name
9,4,1753,CPRD GOLD
5,8,792,CPRD GOLD
6,9,4351,CPRD GOLD
7,6,NA,CPRD GOLD
6,7,NA,CPRD GOLD
3,5,816,CPRD GOLD
7,9,NA,CPRD GOLD
4,3,981,CPRD GOLD
1,4,2532,CPRD GOLD
2,8,5676,CPRD GOLD
8,7,NA,CPRD GOLD
3,1,2226,CPRD GOLD
4,5,2501,CPRD GOLD
5,1,2501,CPRD GOLD
7,8,NA,CPRD GOLD
2,4,2269,CPRD GOLD
4,2,2269,CPRD GOLD
8,6,2503,CPRD GOLD
1,8,2160,CPRD GOLD
2,1,5027,CPRD GOLD
6,4,877,CPRD GOLD
9,8,3634,CPRD GOLD
8,4,880,CPRD GOLD
10,5,700,CPRD GOLD
1,10,1807,CPRD GOLD
4,6,877,CPRD GOLD
3,4,981,CPRD GOLD
3,9,4150,CPRD GOLD
9,5,1484,CPRD GOLD
8,5,792,CPRD GOLD
10,1,1807,CPRD GOLD
5,10,700,CPRD GOLD
4,1,2532,CPRD GOLD
5,6,731,CPRD GOLD
2,6,5410,CPRD GOLD
10,6,2335,CPRD GOLD
3,7,5,CPRD GOLD
2,9,11343,CPRD GOLD
3,6,3187,CPRD GOLD
3,10,300,CPRD GOLD
6,1,2012,CPRD GOLD
2,7,8,CPRD GOLD
6,3,3187,CPRD GOLD
5,2,1956,CPRD GOLD
1,7,NA,CPRD GOLD
5,4,2501,CPRD GOLD
1,2,5027,CPRD GOLD
10,4,784,CPRD GOLD
6,10,2335,CPRD GOLD
7,3,5,CPRD GOLD
8,10,451,CPRD GOLD
4,9,1753,CPRD GOLD
3,8,3124,CPRD GOLD
1,5,2501,CPRD GOLD
2,5,1956,CPRD GOLD
8,1,2160,CPRD GOLD
1,6,2012,CPRD GOLD
9,7,NA,CPRD GOLD
8,2,5676,CPRD GOLD
4,8,880,CPRD GOLD
10,2,1977,CPRD GOLD
10,3,300,CPRD GOLD
1,3,2226,CPRD GOLD
9,6,4351,CPRD GOLD
10,9,1744,CPRD GOLD
7,1,NA,CPRD GOLD
9,3,4150,CPRD GOLD
7,2,8,CPRD GOLD
6,2,5410,CPRD GOLD
5,3,816,CPRD GOLD
9,10,1744,CPRD GOLD
4,10,784,CPRD GOLD
10,8,451,CPRD GOLD
2,3,6926,CPRD GOLD
5,9,1484,CPRD GOLD
3,2,6926,CPRD GOLD
8,3,3124,CPRD GOLD
2,10,1977,CPRD GOLD
8,9,3634,CPRD GOLD
9,1,3755,CPRD GOLD
1,9,3755,CPRD GOLD
6,5,731,CPRD GOLD
6,8,2503,CPRD GOLD
9,2,11343,CPRD GOLD
