analysis_id,n_persons,person_days,n_events,incidence_start_date,incidence_end_date,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_washout,analysis_repeated_events,analysis_interval,analysis_complete_database_intervals,denominator_cohort_id,analysis_min_cell_count,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,cdm_name
1,24,2599,0,1988-03-07,1988-12-31,7.115674195756331,0,0,51841.6014088155,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,134,25827,0,1989-01-01,1989-12-31,70.71047227926078,0,0,5216.87854034582,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,421,97663,0,1990-01-01,1990-12-31,267.3867214236824,0,0,1379.604579641333,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,606,175888,0,1991-01-01,1991-12-31,481.55509924709105,0,0,766.0347611065649,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,732,229480,0,1992-01-01,1992-12-31,628.2819986310747,0,0,587.1375373083122,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,846,272033,0,1993-01-01,1993-12-31,744.7857631759069,0,0,495.2940344057945,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,908,300764,0,1994-01-01,1994-12-31,823.4469541409993,0,0,447.98021725177045,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1016,332836,0,1995-01-01,1995-12-31,911.2553045859,0,0,404.8129471016101,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1127,355828,0,1996-01-01,1996-12-31,974.2039698836413,0,0,378.65576082127177,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1350,415638,0,1997-01-01,1997-12-31,1137.9548254620124,0,0,324.16747761636685,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1554,490009,0,1998-01-01,1998-12-31,1341.5715263518139,0,0,274.967035424883,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1832,579657,0,1999-01-01,1999-12-31,1587.0143737166325,0,0,232.44146462737706,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,2329,723465,0,2000-01-01,2000-12-31,1980.7392197125257,0,0,186.2375126115451,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,2640,841298,0,2001-01-01,2001-12-31,2303.3483915126626,0,0,160.15290903046423,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,3101,977026,0,2002-01-01,2002-12-31,2674.9514031485282,0,0,137.90454098612676,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,3548,1121947,0,2003-01-01,2003-12-31,3071.7234770704995,0,0,120.09152131206865,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,3939,1279433,0,2004-01-01,2004-12-31,3502.896646132786,0,0,105.3094003840072,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,4074,1366492,0,2005-01-01,2005-12-31,3741.2511978097195,0,0,98.60015430863224,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,4139,1384514,0,2006-01-01,2006-12-31,3790.5927446954142,0,0,97.31669167773781,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,4183,1394172,0,2007-01-01,2007-12-31,3817.034907597536,0,0,96.64253912825066,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,4191,1407835,0,2008-01-01,2008-12-31,3854.4421629021217,0,0,95.70462594090323,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,4197,1396220,0,2009-01-01,2009-12-31,3822.6420260095824,0,0,96.50078215575732,FALSE,FALSE,1,any_covid_test,inf,FALSE,years,FALSE,1,0,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
