group_name,group_level,strata_name,strata_level,variable_name,variable_level,variable_type,estimate_type,estimate,estimate_suppressed,standard_concept_name,standard_concept_id,source_concept_name,source_concept_id,domain_id,codelist_name,cohort_name,cdm_name
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,18966,FALSE,NA,NA,NA,NA,NA,"COVID test, excl antibody",any_covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) not detected (715748) Domain: measurement,Overall,Overall,Record count,Overall,Numeric,Count,16169,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) not detected,715748,measurement,"COVID test, excl antibody",any_covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) detected (715749) Domain: measurement,Overall,Overall,Record count,Overall,Numeric,Count,2797,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) detected,715749,measurement,"COVID test, excl antibody",any_covid_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,6664,FALSE,NA,NA,NA,NA,NA,"COVID test, excl antibody",any_covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) not detected (715748) Domain: measurement,Overall,Overall,Person count,Overall,Numeric,Count,5500,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) not detected,715748,measurement,"COVID test, excl antibody",any_covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) detected (715749) Domain: measurement,Overall,Overall,Person count,Overall,Numeric,Count,2501,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) detected,715749,measurement,"COVID test, excl antibody",any_covid_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,46333,FALSE,NA,NA,NA,NA,NA,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension (37003436) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,16709,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.1 MG/ML Injectable Suspension",37003436,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension (37003518) Source concept: Admin sec dose SARS-CoV-2 vacc (940617) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1150,FALSE,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.2 MG/ML Injectable Suspension",37003518,Admin sec dose SARS-CoV-2 vacc,940617,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
By concept,"Standard concept: SARS-COV-2 (COVID-19) vaccine, vector - Ad26 100000000000 UNT/ML Injectable Suspension (739906) Source concept: Admin first dse SARS-CoV-2 vac (940616) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,8,FALSE,"SARS-COV-2 (COVID-19) vaccine, vector - Ad26 100000000000 UNT/ML Injectable Suspension",739906,Admin first dse SARS-CoV-2 vac,940616,drug,Any COVID-19 vaccine,any_covid_vaccine,CPRD GOLD
