analysis_id,prevalence_start_date,prevalence_end_date,n_cases,n_population,prevalence,prevalence_95CI_lower,prevalence_95CI_upper,population_obscured,cases_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_type,analysis_interval,analysis_complete_database_intervals,analysis_time_point,analysis_full_contribution,analysis_min_cell_count,denominator_cohort_id,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,cdm_name
1,1989-01-01,1989-12-31,0,134,0,0,0.02786867502389931,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1990-01-01,1990-12-31,0,421,0,0,0.009042099684332892,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1991-01-01,1991-12-31,0,606,0,4.336808689942018e-19,0.006299110637906943,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1992-01-01,1992-12-31,0,732,0,0,0.005220497941024807,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1993-01-01,1993-12-31,0,846,0,0,0.004520206423001332,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1994-01-01,1994-12-31,0,908,0,0,0.00421285825900302,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1995-01-01,1995-12-31,0,1016,0,2.168404344971009e-19,0.003766721569778346,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1996-01-01,1996-12-31,0,1127,0,-2.168404344971009e-19,0.0033969914975528186,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1997-01-01,1997-12-31,0,1350,0,-2.168404344971009e-19,0.0028374510144196256,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1998-01-01,1998-12-31,0,1554,0,-2.168404344971009e-19,0.0024658856001959,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
1,1999-01-01,1999-12-31,0,1832,0,0,0.002092478521081987,FALSE,FALSE,FALSE,1,any_covid_test,period,years,TRUE,start,FALSE,5,1,denominator_cohort_1,0 to 17,Male,180,1987-09-09,2023-06-23,NA,NA,CPRD GOLD
