NCO_name,concept_id,concept_name
Cellulitis of lower limb,759852,Cellulitis of left lower limb
Cellulitis of lower limb,759853,Cellulitis of right lower limb
Cellulitis of lower limb,42709830,Cellulitis and abscess of lower limb
Cellulitis of lower limb,42709838,Cellulitis of lower limb
Cellulitis of lower limb,759848,Cellulitis of toe of left foot
Cellulitis of lower limb,36687131,Erysipelas of left lower limb
Cellulitis of lower limb,36685952,Cellulitis of left thigh
Cellulitis of lower limb,36685930,Cellulitis of left hip
Cellulitis of lower limb,36685954,Cellulitis of left ankle
Cellulitis of lower limb,36685956,Cellulitis of left knee
Cellulitis of lower limb,36687129,Bilateral erysipelas of lower limbs
Cellulitis of lower limb,36685957,Cellulitis of right knee
Cellulitis of lower limb,36685955,Cellulitis of right ankle
Cellulitis of lower limb,36685931,Cellulitis of right hip
Cellulitis of lower limb,36685953,Cellulitis of right thigh
Cellulitis of lower limb,36687130,Erysipelas of right lower limb
Cellulitis of lower limb,759849,Cellulitis of toe of right foot
Cellulitis of lower limb,4061723,Cellulitis and abscess of knee
Cellulitis of lower limb,4066371,Cellulitis and abscess of lower leg
Cellulitis of lower limb,4066720,Cellulitis and abscess of ankle
Cellulitis of lower limb,78497,Cellulitis and abscess of toe
Cellulitis of lower limb,4061722,Cellulitis and abscess of hip
Cellulitis of lower limb,4063914,Cellulitis and abscess of heel
Cellulitis of lower limb,4065991,Cellulitis and abscess of finger and toe
Cellulitis of lower limb,4066370,Cellulitis and abscess of thigh
Cellulitis of lower limb,75337,Cellulitis and abscess of buttock
Cellulitis of lower limb,4318545,Cellulitis of hip
Cellulitis of lower limb,4117877,Cellulitis of foot excluding toe
Cellulitis of lower limb,4028202,Cellulitis of knee
Cellulitis of lower limb,4300219,Erysipelas of lower limb
Cellulitis of lower limb,4186208,Cellulitis of buttock
Cellulitis of lower limb,759850,Cellulitis of left foot
Cellulitis of lower limb,42709839,Cellulitis of lower leg
Cellulitis of lower limb,4113790,"Cellulitis of leg, excluding foot"
Cellulitis of lower limb,759851,Cellulitis of right foot
Cellulitis of lower limb,4028237,Cellulitis of foot
Cellulitis of lower limb,4061725,Cellulitis of foot due to diabetes mellitus
Cellulitis of lower limb,4320944,Cellulitis of toe
Cellulitis of lower limb,4210482,Cellulitis of heel
Cellulitis of lower limb,4299264,Cellulitis of thigh
Cellulitis of lower limb,4085268,Cellulitis of ankle
Iron deficiency anemia,433168,Iron deficiency anemia secondary to inadequate dietary iron intake
Iron deficiency anemia,436659,Iron deficiency anemia
Iron deficiency anemia,4058246,Iron deficiency anemia of pregnancy
Iron deficiency anemia,4100985,Iron deficiency anemia due to dietary causes
Iron deficiency anemia,4120446,Iron deficiency without anemia
Iron deficiency anemia,4122079,"Deficiency anemias, excluding iron"
Iron deficiency anemia,36713573,Acquired iron deficiency anemia due to increased iron requirement
Iron deficiency anemia,36716126,Iron-refractory iron deficiency anemia
Iron deficiency anemia,37110336,Acquired iron deficiency anemia due to decreased absorption
Iron deficiency anemia,37119138,Iron deficiency anemia due to blood loss
Iron deficiency anemia,45772084,Iron deficiency anemia in mother complicating childbirth
Iron deficiency anemia,4157495,Sideropenic anemia with reticuloendothelial siderosis
Iron deficiency anemia,4198185,Plummer-Vinson syndrome
Iron deficiency anemia,915764,"Patients greater than 85 years of age who did not have a history of colorectal cancer or valid medical reason for the colonoscopy, including: iron deficiency anemia, lower gastrointestinal bleeding, crohn's disease (i.e., regional enteritis), familial..."
Iron deficiency anemia,915765,"Documentation of medical reason(s) for a colonoscopy performed on a patient greater than 85 years of age (e.g., last colonoscopy incomplete, last colonoscopy had inadequate prep, iron deficiency anemia, lower gastrointestinal bleeding, crohn's disease..."
Wax in ear canal,4155902,Wax in ear canal
Wax in ear canal,760186,Impacted cerumen in right ear
Wax in ear canal,4039967,O/E - wax in auditory canal
Wax in ear canal,760147,Impacted cerumen in left ear
Wax in ear canal,4201923,C/O - wax in ear
Wax in ear canal,374375,Impacted cerumen
Wax in ear canal,760047,Impacted cerumen of bilateral ears
Wax in ear canal,4131101,Excessive cerumen in ear canal
Actinic keratosis,138825,Actinic keratosis
Actinic keratosis,141650,Disseminated superficial actinic porokeratosis
Actinic keratosis,4119822,Bowenoid actinic keratosis
Actinic keratosis,4293437,Atrophic actinic keratosis
Actinic keratosis,4296207,Proliferative actinic keratosis
Actinic keratosis,4299672,Lichenoid actinic keratosis
Actinic keratosis,4300445,Acantholytic actinic keratosis
Actinic keratosis,4300796,Diffuse actinic hyperkeratosis
Actinic keratosis,4304266,Actinic keratosis of eyelid
Actinic keratosis,42709860,Pigmented actinic keratosis
Actinic keratosis,42709861,Hyperkeratotic actinic keratosis
Actinic keratosis,4031006,Actinic reaction
Actinic keratosis,4300794,Multiple actinic keratoses involving forehead and temples
Actinic keratosis,4293562,Multiple actinic keratoses involving face
Actinic keratosis,4293560,Multiple actinic keratoses
Actinic keratosis,4300795,Multiple actinic keratoses involving hands
Actinic keratosis,4293561,Multiple actinic keratoses involving scalp
Actinic keratosis,4293563,Multiple actinic keratoses involving legs
Actinic keratosis,4112749,Hypertrophic solar keratosis
Actinic keratosis,4309965,Actinic keratosis
Actinic keratosis,43531618,History of actinic keratosis
Actinic keratosis,37206368,Multiple actinic keratoses
Actinic keratosis,40482079,Cryotherapy of actinic keratosis
Hearing loss,374053,Sudden hearing loss
Hearing loss,374366,Sensorineural hearing loss
Hearing loss,374367,Bilateral hearing loss
Hearing loss,375826,Central hearing loss
Hearing loss,376131,Tympanic membrane conductive hearing loss
Hearing loss,376417,Middle ear conductive hearing loss
Hearing loss,377888,Conductive hearing loss
Hearing loss,377889,Hearing loss
Hearing loss,378442,Conductive hearing loss of combined sites
Hearing loss,379832,Mixed conductive AND sensorineural hearing loss
Hearing loss,380734,External ear conductive hearing loss
Hearing loss,380742,Inner ear conductive hearing loss
Hearing loss,381312,Neural hearing loss
Hearing loss,433495,"Conductive hearing loss, bilateral"
Hearing loss,436421,"Mixed conductive and sensorineural hearing loss, bilateral"
Hearing loss,439709,Conductive hearing loss due to disorder of inner ear
Hearing loss,439710,Conductive hearing loss due to disorder of middle ear
Hearing loss,439711,Conductive hearing loss due to disorder of tympanic membrane
Hearing loss,439712,Conductive hearing loss due to disorder of external ear
Hearing loss,440422,Noise-induced hearing loss
Hearing loss,442755,Sensorineural hearing loss of combined sites
Hearing loss,443577,Asymmetrical sensorineural hearing loss
Hearing loss,443606,Bilateral neural hearing loss
Hearing loss,443608,Bilateral sensory hearing loss
Hearing loss,444291,Sensory hearing loss
Hearing loss,760154,Hearing loss in left ear
Hearing loss,761911,Mixed conductive and sensorineural hearing loss of left ear
Hearing loss,761957,Sensorineural hearing loss in left ear
Hearing loss,761958,Sensorineural hearing loss in right ear
Hearing loss,762424,Left conductive hearing loss
Hearing loss,764994,High frequency sensorineural hearing loss in right ear
Hearing loss,765417,Mixed conductive and sensorineural hearing loss of right ear
Hearing loss,765124,Right conductive hearing loss
Hearing loss,765313,High frequency sensorineural hearing loss in left ear
Hearing loss,1340346,Exacerbation of hearing loss
Hearing loss,4011943,Hearing loss remits during vertigo attacks
Hearing loss,4048165,Dominant sensorineural hearing loss
Hearing loss,4048166,Perinatal sensorineural hearing loss
Hearing loss,4049220,Postnatal acquired sensorineural hearing loss
Hearing loss,4049221,Hearing loss associated with syndrome
Hearing loss,4051470,X-linked sensorineural hearing loss
Hearing loss,4051471,Recessive sensorineural hearing loss
Hearing loss,4108534,Combined perceptive hearing loss
Hearing loss,4110815,"Sensorineural hearing loss, bilateral"
Hearing loss,4111264,Combined conductive hearing loss
Hearing loss,4146578,Bilateral central hearing loss
Hearing loss,4170385,Articulatory defect due to conductive hearing loss
Hearing loss,4172682,Postoperative profound sensorineural hearing loss
Hearing loss,4173984,Simulated hearing loss
Hearing loss,4176595,Autoimmune sensorineural hearing loss
Hearing loss,4176780,Asymmetrical hearing loss
Hearing loss,4178157,Paradoxic hearing loss
Hearing loss,4320813,Neonatal hearing loss
Hearing loss,35621978,"Facial dysmorphism, conductive hearing loss, heart defect syndrome"
Hearing loss,35624222,"Epiphyseal dysplasia, hearing loss, dysmorphism syndrome"
Hearing loss,36675044,"Non-acquired combined pituitary hormone deficiency, sensorineural hearing loss, spine abnormalities syndrome"
Hearing loss,36676498,"Congenital cataract, progressive muscular hypotonia, hearing loss, developmental delay syndrome"
Hearing loss,36676691,"Hypogonadotropic hypogonadism, severe microcephaly, sensorineural hearing loss, dysmorphism syndrome"
Hearing loss,36676682,"Congenital cataract, hearing loss, severe developmental delay syndrome"
Hearing loss,36685104,Bilateral conductive hearing loss of middle ears
Hearing loss,36685106,Bilateral hearing loss of ears caused by noise
Hearing loss,36685175,Hearing loss of left ear caused by noise
Hearing loss,36685246,Hearing loss of right ear caused by noise
Hearing loss,36685094,High frequency sensorineural hearing loss of bilateral ears
Hearing loss,36714157,Progressive sensorineural hearing loss and hypertrophic cardiomyopathy syndrome
Hearing loss,36715114,Camptodactyly and tall stature with scoliosis and hearing loss syndrome
Hearing loss,36715138,"Cerebellar ataxia, areflexia, pes cavus, optic atrophy, sensorineural hearing loss syndrome"
Hearing loss,36715142,"Choanal atresia, hearing loss, cardiac defect, craniofacial dysmorphism syndrome"
Hearing loss,36715579,Acquired hearing loss
Hearing loss,36716192,"Osteopenia, myopia, hearing loss, intellectual disability, facial dysmorphism syndrome"
Hearing loss,36716396,Congenital hereditary facial paralysis with variable hearing loss syndrome
Hearing loss,36717441,"Dentinogenesis imperfecta, short stature, hearing loss, intellectual disability syndrome"
Hearing loss,37109673,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, cataract syndrome"
Hearing loss,37109768,"Split hand, split foot malformation with sensorineural hearing loss syndrome"
Hearing loss,37110393,Sudden idiopathic hearing loss
Hearing loss,37118975,"Sensorineural hearing loss, early graying, essential tremor syndrome"
Hearing loss,37119055,Maternally inherited cardiomyopathy and hearing loss syndrome
Hearing loss,37204229,"Peripheral neuropathy, myopathy, hoarseness, hearing loss syndrome"
Hearing loss,37208613,HSE (Health and Safety Executive) Categorisation Scheme - category U (unilateral hearing loss)
Hearing loss,37311945,Hereditary hearing loss
Hearing loss,37395707,Sudden sensorineural hearing loss
Hearing loss,40480431,Speech and language developmental delay due to hearing loss
Hearing loss,42537569,Moderate acquired hearing loss
Hearing loss,42537570,Severe acquired hearing loss
Hearing loss,42537571,Profound acquired hearing loss
Hearing loss,42537779,Congenital conductive hearing loss
Hearing loss,42537801,Congenital mixed conductive and sensorineural hearing loss
Hearing loss,42539676,Mild acquired hearing loss
Hearing loss,43021778,Hearing loss of right ear
Hearing loss,43021779,Hearing loss of left ear
Hearing loss,43531411,Acquired sensorineural hearing loss
Hearing loss,44808885,Moderate sensorineural hearing loss
Hearing loss,44808886,Severe sensorineural hearing loss
Hearing loss,44808890,Mild sensorineural hearing loss
Hearing loss,44810468,Bilateral severe sensorineural hearing loss
Hearing loss,44810469,Bilateral moderate sensorineural hearing loss
Hearing loss,44810470,Bilateral mild sensorineural hearing loss
Hearing loss,44810044,Bilateral profound sensorineural hearing loss
Hearing loss,44810045,Bilateral congenital sensorineural hearing loss
Hearing loss,45757561,Mild to moderate hearing loss
Hearing loss,45763917,Congenital sensorineural hearing loss
Hearing loss,45772124,Severe hearing loss
Hearing loss,45771101,Profound sensorineural hearing loss
Hearing loss,46270115,Perception of hearing loss
Hearing loss,37204181,Gemignani syndrome
Hearing loss,36713441,Alport syndrome autosomal recessive
Hearing loss,4168067,Drug ototoxicity - deafness
Hearing loss,4030677,Renal tubular acidosis with progressive nerve deafness
Hearing loss,4007235,"Black locks, oculocutaneous albinism, AND deafness of the sensorineural type"
Hearing loss,4290064,Pendred's syndrome
Hearing loss,36713437,Choroideremia with deafness and obesity syndrome
Hearing loss,45765427,Craniofacial deafness hand syndrome
Hearing loss,36713440,Alport syndrome autosomal dominant
Hearing loss,36714522,DOORS syndrome
Hearing loss,46272952,"3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome"
Hearing loss,4247078,"Gonadal dysgenesis with auditory dysfunction, autosomal recessive inheritance"
Hearing loss,4301399,Albinism-deafness syndrome of Tietz
Hearing loss,4218925,Retinitis pigmentosa-deafness-ataxia syndrome
Hearing loss,36715419,"Developmental malformation, deafness, dystonia syndrome"
Hearing loss,4322638,Diabetes mellitus AND insipidus with optic atrophy AND deafness
Hearing loss,37117745,"Myoclonus, cerebellar ataxia, deafness syndrome"
Hearing loss,4321249,Mid frequency deafness
Hearing loss,37399506,Thong Douglas Ferrante syndrome
Hearing loss,36713457,Bartter syndrome type 4a
Hearing loss,36674379,Ocular albinism with congenital sensorineural deafness
Hearing loss,37117182,"Nephropathy, deafness, hyperparathyroidism syndrome"
Hearing loss,37204690,Hypotrichosis and deafness syndrome
Hearing loss,36714026,Congenital cataract with ataxia and deafness syndrome
Hearing loss,4084820,Hutchinson's triad
Hearing loss,36680576,Temtamy preaxial brachydactyly syndrome
Hearing loss,36676681,"Nephrotic syndrome, deafness, pretibial epidermolysis bullosa syndrome"
Hearing loss,4161597,Jervell and Lange-Nielsen syndrome
Hearing loss,35621875,"Charcot-Marie-Tooth disease, deafness, intellectual disability syndrome"
Hearing loss,35607980,Prelingual non-syndromic genetic deafness
Hearing loss,35607979,Postlingual non-syndromic genetic deafness
Hearing loss,36713442,Alport syndrome X-linked
Hearing loss,44783252,Myhre syndrome
Hearing loss,4031723,Mechanical presbycusis
Hearing loss,4173753,Low frequency deafness
Hearing loss,36717138,Ehlers-Danlos syndrome kyphoscoliotic and deafness type
Hearing loss,377574,Presbycusis
Hearing loss,36715509,"Seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome"
Hearing loss,4240613,Retinitis pigmentosa-deafness syndrome
Hearing loss,36676665,Chudley McCullough syndrome
Hearing loss,36674698,Alport syndrome
Hearing loss,36714534,X-linked spinocerebellar ataxia type 3
Hearing loss,36716387,Congenital cataract with deafness and hypogonadism syndrome
Hearing loss,37117747,"Spastic paraplegia, nephritis, deafness syndrome"
Hearing loss,4051469,High frequency deafness
Hearing loss,37116378,"Deafness, small bowel diverticulosis, neuropathy syndrome"
Hearing loss,45763942,Sensorineural deafness and male infertility
Hearing loss,36716255,Palmoplantar keratoderma with deafness syndrome
Hearing loss,37395885,Olivopontocerebellar atrophy and deafness
Hearing loss,4283945,Pili torti-deafness syndrome
Hearing loss,36715218,Congenital hereditary endothelial dystrophy and perceptive deafness syndrome
Hearing loss,36716317,Albinism with deafness syndrome
Hearing loss,4237144,End organ deafness
Hearing loss,45763666,Bartter syndrome type 4
Hearing loss,36674947,Oculootodental syndrome
Hearing loss,4270189,Alstrom syndrome
Hearing loss,36717531,"Osteochondrodysplatic nanism, deafness, retinitis pigmentosa syndrome"
Hearing loss,4129516,Diabetes-deafness syndrome maternally transmitted
Hearing loss,4034712,Familial amyloid nephropathy with urticaria AND deafness
Hearing loss,44783873,Brown-Vialetto-Van Laere syndrome
Hearing loss,36715415,"Deafness, genital anomaly, metacarpal and metatarsal synostosis syndrome"
Hearing loss,36715414,"Deafness, enamel hypoplasia, nail defect syndrome"
Hearing loss,4030676,"Prune belly syndrome with pulmonic stenosis, mental retardation and deafness"
Hearing loss,37109694,Peripheral neuropathy with sensorineural hearing impairment syndrome
Hearing loss,4093148,Rubella deafness
