result_id,cdm_name,result_type,package_name,package_version,group_name,group_level,strata_name,strata_level,variable_name,variable_level,estimate_name,estimate_type,estimate_value,additional_name,additional_level
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Number records,NA,count,integer,6378,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Number records,NA,count,integer,6386,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Number records,NA,count,integer,6324,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Number records,NA,count,integer,6334,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Number subjects,NA,count,integer,5644,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Number subjects,NA,count,integer,5676,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Number subjects,NA,count,integer,5284,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Number subjects,NA,count,integer,5304,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,min,date,2020-12-16,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,min,date,2020-12-16,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,min,date,2021-09-21,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,min,date,2021-09-21,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,q05,date,2021-02-27,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,q05,date,2021-02-26,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,q05,date,2021-10-08,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,q05,date,2021-10-08,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,q25,date,2021-05-25,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,q25,date,2021-05-25,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,q25,date,2021-12-08,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,q25,date,2021-12-08,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,median,date,2021-06-20,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,median,date,2021-06-20,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,median,date,2021-12-20,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,median,date,2021-12-20,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,q75,date,2021-08-14,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,q75,date,2021-08-14,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,q75,date,2021-12-30,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,q75,date,2021-12-30,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,q95,date,2021-11-14,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,q95,date,2021-11-14,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,q95,date,2022-02-22,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,q95,date,2022-02-22,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort start date,NA,max,date,2022-01-23,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort start date,NA,max,date,2022-01-23,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort start date,NA,max,date,2022-05-30,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort start date,NA,max,date,2022-05-30,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort end date,NA,min,date,2021-01-27,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort end date,NA,min,date,2021-02-16,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort end date,NA,min,date,2021-09-30,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort end date,NA,min,date,2021-09-29,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort end date,NA,q05,date,2021-06-10,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort end date,NA,q05,date,2021-06-11,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort end date,NA,q05,date,2021-11-26,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_test,overall,overall,Cohort end date,NA,q05,date,2021-11-27,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_diagnostic_test,overall,overall,Cohort end date,NA,q25,date,2021-08-28,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,none_first_covid_test,overall,overall,Cohort end date,NA,q25,date,2021-08-31,overall,overall
1,CPRD,summarised_characteristics,PatientProfiles,0.8.0,cohort_name,complete_booster_covid_diagnostic_test,overall,overall,Cohort end date,NA,q25,date,2022-01-02,overall,overall
